0,3571/9828,439/1092,1697/2457,2077/2457,2267/2457,2362/2457
0,3571/9828,439/1092,1697/2457,2077/2457,2267/2457,9631/9828
0,397/1092,183/455,943/1365,1154/1365,2519/2730,5249/5460
0,227/637,1567/3822,440/637,1077/1274,3617/3822,4895/5096
0,1136/3185,7829/19110,440/637,1077/1274,18097/19110,37207/38220
0,227/637,1567/3822,440/637,1077/1274,3617/3822,2153/2184
0,4931/13650,3681/9100,943/1365,1154/1365,26119/27300,53419/54600
0,5899/15820,2687/6328,1105/1582,2687/3164,83009/94920,10676/11865
0,209/560,1189/2800,489/700,1189/1400,6049/6720,31511/33600
0,439/1176,2497/5880,1027/1470,2497/2940,3477/3920,5437/5880
0,7429/19929,8462/19929,13919/19929,16924/19929,11787/13286,25073/26572
0,19654/52689,1721/4053,2831/4053,3442/4053,31179/35126,136501/140504
0,439/1176,2497/5880,1027/1470,2497/2940,871/980,1851/1960
0,19654/52689,1721/4053,2831/4053,3442/4053,31179/35126,128719/140504
0,439/1176,2497/5880,1027/1470,2497/2940,5437/5880,1851/1960
0,439/1176,2497/5880,1027/1470,2497/2940,5437/5880,11317/11760
0,439/1176,2497/5880,1027/1470,2497/2940,5437/5880,1441/1470
0,251/672,1427/3360,587/840,1427/1680,3107/3360,6467/6720
